origem,destino,peso
Colégio Adventista de Planaltina,Escola Adventista de Formosa,34.57445780158325
Escola Adventista de Campina Grande,IAPE - Instituto Adventista Pernambucano de Ensino,110.27762394985909
Escola Adventista do Siqueira Campos Aracaju,Escola Adventista de Lagarto,65.94146845117855
Colégio Adventista de Cariacica,Centro Educacional Adventista IBES,6.7570765541576465
Colégio Adventista de Cariacica,Colégio Adventista de Vitória,7.3433576911555285
Colégio Adventista de Cariacica,Espaço Kids IBES,6.781186697597343
Colégio Adventista de Uberlândia,Escola Adventista de Uberaba,96.14844986695297
Colégio Adventista do Gama,Escola Adventista de Valparaíso de Goiás,11.267503671458003
Centro Educacional Adventista IBES,Colégio Adventista de Vitória,4.086932059630591
Centro Educacional Adventista IBES,Espaço Kids IBES,0.05437461369798949
Centro Educacional Adventista Dr. Otto Keppke,Centro Educacional Adventista Dr. Otto Keppke Júnior,0.4896885800445655
Colégio Adventista da Cidade Nova,Colégio Adventista Paul Bernard,6.491474827734008
Colégio Adventista da Cidade Nova,Colégio Adventista da Alvorada - AM,8.048434178241639
Colégio Adventista da Cidade Nova,Escola Adventista da Liberdade - AM,11.98129373606501
Colégio Adventista da Cidade Nova,Colégio Adventista de Manaus,11.72846946690796
Colégio Adventista da Cidade Nova,Escola Adventista de Santo Antônio,11.358406615472393
Colégio Adventista da Cidade Nova,Escola Adventista de São Jorge,10.697737585859462
Colégio Adventista da Cidade Nova,Escola Adventista do Japiim,8.69549797447346
Colégio Adventista da Cidade Nova,Instituto Adventista de Manaus,9.618517704993199
Colégio Adventista de Sinop,Colégio Adventista de Tangará da Serra,373.2604410858097
Colégio Adventista Alto Boqueirão,Colégio Adventista Boqueirão,3.9112191315302547
Colégio Adventista Alto Boqueirão,Colégio Adventista Centenário,7.303765293659428
Colégio Adventista Alto Boqueirão,Colégio Adventista Portão,6.820278483740244
Colégio Adventista Alto Boqueirão,Colégio Adventista São José dos Pinhais,5.309026828841065
Colégio Adventista Alto Boqueirão,Colégio Curitibano Adventista Bom Retiro,12.183199345411508
Colégio Adventista Alto Boqueirão,Colégio Adventista Afonso Pena,6.003623486924065
Colégio Adventista Alto Boqueirão,Colégio Adventista Pinhais,11.487085972572542
Colégio Adventista Alto Boqueirão,Escola Adventista de Vista Alegre,13.692991192562697
Colégio Adventista Alto Boqueirão,Colégio Adventista Fazenda Rio Grande,14.709242207234787
Colégio Adventista Boa Vista - PR,Colégio Adventista Boqueirão,11.841877475545392
Colégio Adventista Boa Vista - PR,Colégio Adventista Centenário,9.73532623808311
Colégio Adventista Boa Vista - PR,Colégio Adventista Portão,12.750707801587705
Colégio Adventista Boa Vista - PR,Colégio Curitibano Adventista Bom Retiro,5.5038877490229465
Colégio Adventista Boa Vista - PR,Colégio Adventista Pinhais,8.206663728141345
Colégio Adventista Boa Vista - PR,Escola Adventista de Vista Alegre,6.91263333423073
Colégio Adventista Boqueirão,Colégio Adventista Centenário,4.1622403257247
Colégio Adventista Boqueirão,Colégio Adventista Portão,5.3853714541021915
Colégio Adventista Boqueirão,Colégio Adventista São José dos Pinhais,7.76875237908102
Colégio Adventista Boqueirão,Colégio Curitibano Adventista Bom Retiro,8.530698873189307
Colégio Adventista Boqueirão,Colégio Adventista Afonso Pena,6.255562245022949
Colégio Adventista Boqueirão,Colégio Adventista Pinhais,8.343418514089645
Colégio Adventista Boqueirão,Escola Adventista de Vista Alegre,10.318778650776377
Colégio Adventista Campo-Grandense,Colégio Adventista Jardim dos Estados,6.907934445720648
Colégio Adventista Centenário,Colégio Adventista Portão,8.90812762287042
Colégio Adventista Centenário,Colégio Adventista São José dos Pinhais,8.870144989609482
Colégio Adventista Centenário,Colégio Curitibano Adventista Bom Retiro,8.51875684715237
Colégio Adventista Centenário,Colégio Adventista Afonso Pena,5.629237622781057
Colégio Adventista Centenário,Colégio Adventista Pinhais,4.235694145033042
Colégio Adventista Centenário,Escola Adventista de Vista Alegre,10.851151764424246
Colégio Adventista da Cidade Nova V,Escola Adventista Centro Nipônico,11.208037253028008
Colégio Adventista da Cidade Nova V,Escola Adventista da Marambaia,7.454950574004025
Colégio Adventista da Cidade Nova V,Escola Adventista da Pedreira,12.029431810419144
Colégio Adventista da Cidade Nova V,Escola Adventista de Coqueiro,3.9503749988100436
Colégio Adventista da Cidade Nova V,Colégio Adventista da Marambaia,8.193545060849837
Colégio Adventista da Cidade Nova V,Escola Adventista de Icoaraci,11.471294777521917
Colégio Adventista da Cidade Nova V,Escola Adventista de São Brás Altamir de Paiva,12.891579193121311
Colégio Adventista da Cidade Nova V,Instituto Adventista Grão Pará,11.328232534208839
Colégio Adventista da Cohab,Colégio Adventista de São Luís,4.002015031810323
Colégio Adventista da Cohab,Educação Adventista KIDS,4.014309606759735
Colégio Adventista da Cohab,Escola Adventista da Cidade Operária,4.2418686987479965
Colégio Adventista da Cohab,Escola Adventista de Monte Castelo,6.635664658730211
Colégio Adventista da Lapa,Liberdade - SP,8.55946855781931
Colégio Adventista da Lapa,Colégio Adventista de Campo Limpo,12.941862410297267
Colégio Adventista da Lapa,Colégio Adventista de Santo Amaro,14.69516632881441
Colégio Adventista da Lapa,Colégio Adventista de Taboão da Serra,10.703166633952339
Colégio Adventista da Lapa,Colégio Adventista de Tucuruvi,10.93743032931447
Colégio Adventista da Lapa,Escola Adventista de Vila das Belezas,14.467029730743146
Colégio Adventista da Lapa,Colégio Adventista de Vila Nova Cachoeirinha,6.650959126162559
Colégio Adventista da Lapa,Colégio Adventista de Vila Yara,6.312830105148774
Colégio Adventista da Lapa,Colégio Adventista do Brooklin,11.391275399038232
Liberdade - SP,Colégio Adventista de Americanópolis,10.873832695479956
Liberdade - SP,Colégio Adventista de Campo Limpo,14.997035842682498
Liberdade - SP,Colégio Adventista de Cidade Ademar,12.24285640098953
Liberdade - SP,Colégio Adventista de Diadema,14.26645930945565
Liberdade - SP,Colégio Adventista de Engenheiro Goulart,13.784135890571694
Liberdade - SP,Colégio Adventista de Gopoúva,14.219339837776937
Liberdade - SP,Colégio Adventista de Jardim Utinga,13.658446858899206
Liberdade - SP,Colégio Adventista de Santo Amaro,12.251288198064595
Liberdade - SP,Colégio Adventista de São Caetano do Sul,11.612408360940726
Liberdade - SP,Colégio Adventista de Taboão da Serra,14.223118238675301
Liberdade - SP,Colégio Adventista de Tucuruvi,8.745227860071598
Liberdade - SP,Colégio Adventista de Vila Alpina,7.911287797109907
Liberdade - SP,Escola Adventista de Vila das Belezas,14.517985780123915
Liberdade - SP,Colégio Adventista de Vila Galvão,13.258792492853287
Liberdade - SP,Colégio Adventista de Vila Matilde,11.637576659774469
Liberdade - SP,Colégio Adventista de Vila Nova Cachoeirinha,10.702437712325581
Liberdade - SP,Colégio Adventista de Vila Yara,12.816455017277969
Liberdade - SP,Colégio Adventista do Brooklin,8.20627295339941
Liberdade - SP,Escola Adventista de Campo Grande,13.710090583698683
Liberdade - SP,Escola Adventista de Educação Infantil de Vila Matilde,11.687621855611225
Colégio Adventista da Liberdade - BA,Colégio Adventista de Castelo Branco,7.590475090171965
Colégio Adventista da Liberdade - BA,Colégio Adventista de Itapagipe,1.8397420006661123
Colégio Adventista da Liberdade - BA,Colégio Adventista de Salvador,2.4407399206641895
Colégio Adventista da Liberdade - BA,Colégio Adventista de São Caetano,2.3592175496327332
Colégio Adventista da Liberdade - BA,Escola Adventista de Amaralina,7.112530613336946
