origem,destino,peso
Colégio Adventista de Planaltina,Colégio Adventista do Gama,62.601605287680876
Colégio Adventista de Planaltina,Colégio Adventista de Taguatinga,49.91733759171529
Colégio Adventista de Planaltina,Colégio Adventista da Asa Sul,35.782275609073615
Colégio Adventista de Planaltina,Escola Adventista de Formosa,34.57445780158325
Colégio Adventista de Planaltina,Escola Adventista do Guará,41.968439414026435
Colégio Adventista de Planaltina,Escola Adventista de Valparaíso de Goiás,61.75465736053606
Colégio Adventista de Planaltina,Colégio Adventista de Águas Claras,47.865514631187665
Escola Adventista de Campina Grande,IAPE - Instituto Adventista Pernambucano de Ensino,110.27762394985909
Escola Adventista do Siqueira Campos Aracaju,Escola Adventista de Lagarto,65.94146845117855
Colégio Adventista de Cariacica,Centro Educacional Adventista IBES,6.7570765541576465
Colégio Adventista de Cariacica,Colégio Adventista de Vitória,7.3433576911555285
Colégio Adventista de Cariacica,EDESSA - Educandário Espírito Santense Adventista,96.65585716259989
Colégio Adventista de Cariacica,Escola Adventista da Serra,24.636619116828406
Colégio Adventista de Cariacica,Espaço Kids IBES,6.781186697597343
Colégio Adventista de Cariacica,Colégio Adventista de Cachoeiro de Itapemirim,96.54928188769186
Colégio Adventista de Uberlândia,Escola Adventista de Uberaba,96.14844986695297
Colégio Adventista do Gama,Colégio Adventista de Taguatinga,19.628257092265816
Colégio Adventista do Gama,Colégio Adventista da Asa Sul,27.022433237597742
Colégio Adventista do Gama,Escola Adventista de Formosa,94.22194330088433
Colégio Adventista do Gama,Escola Adventista de Anápolis,99.65685956560665
Colégio Adventista do Gama,Escola Adventista do Guará,22.586184856186545
Colégio Adventista do Gama,IABC - Instituto Adventista Brasil Central,84.36812700423313
Colégio Adventista do Gama,Escola Adventista de Valparaíso de Goiás,11.267503671458003
Colégio Adventista do Gama,Colégio Adventista de Águas Claras,19.328997627981785
Centro Educacional Adventista IBES,Colégio Adventista de Vitória,4.086932059630591
Centro Educacional Adventista IBES,Escola Adventista da Serra,24.62295135962165
Centro Educacional Adventista IBES,Espaço Kids IBES,0.05437461369798949
Centro Educacional Adventista Dr. Otto Keppke,Centro Educacional Adventista Dr. Otto Keppke Júnior,0.4896885800445655
Centro Educacional Adventista Dr. Otto Keppke,Colégio Adventista de Ipatinga,91.48587549978141
Centro Educacional Adventista Dr. Otto Keppke,Colégio Adventista de Ipatinga Júnior,91.59653747346326
Centro Educacional Adventista Dr. Otto Keppke Júnior,Colégio Adventista de Ipatinga,91.54722382111022
Centro Educacional Adventista Dr. Otto Keppke Júnior,Colégio Adventista de Ipatinga Júnior,91.65738549464928
Colégio Adventista da Cidade Nova,Colégio Adventista Paul Bernard,6.491474827734008
Colégio Adventista da Cidade Nova,Colégio Adventista da Alvorada - AM,8.048434178241639
Colégio Adventista da Cidade Nova,Escola Adventista da Liberdade - AM,11.98129373606501
Colégio Adventista da Cidade Nova,Colégio Adventista de Manaus,11.72846946690796
Colégio Adventista da Cidade Nova,Escola Adventista de Santo Antônio,11.358406615472393
Colégio Adventista da Cidade Nova,Escola Adventista de São Jorge,10.697737585859462
Colégio Adventista da Cidade Nova,Escola Adventista do Japiim,8.69549797447346
Colégio Adventista da Cidade Nova,Colégio Adventista Amazonas - Campus Residencial - IAAI,45.725098334460185
Colégio Adventista da Cidade Nova,Instituto Adventista de Manaus,9.618517704993199
Colégio Adventista de Sinop,Colégio Adventista de Tangará da Serra,373.2604410858097
Colégio Adventista Alto Boqueirão,Colégio Adventista Boa Vista - PR,15.753096295446293
Colégio Adventista Alto Boqueirão,Colégio Adventista Boqueirão,3.9112191315302547
Colégio Adventista Alto Boqueirão,Colégio Adventista Centenário,7.303765293659428
Colégio Adventista Alto Boqueirão,Colégio Adventista de Joinville - Costa e Silva,91.29900844216256
Colégio Adventista Alto Boqueirão,Colégio Adventista de Joinville - Saguaçu,93.60677909775721
Colégio Adventista Alto Boqueirão,Colégio Adventista Portão,6.820278483740244
Colégio Adventista Alto Boqueirão,Colégio Adventista São José dos Pinhais,5.309026828841065
Colégio Adventista Alto Boqueirão,Colégio Curitibano Adventista Bom Retiro,12.183199345411508
Colégio Adventista Alto Boqueirão,Colégio Adventista Afonso Pena,6.003623486924065
Colégio Adventista Alto Boqueirão,Colégio Adventista Araucária,16.70909472096182
Colégio Adventista Alto Boqueirão,Escola Adventista de Guaraqueçaba,97.33959121856564
Colégio Adventista Alto Boqueirão,Escola Adventista de Joinville - Bom Retiro,91.98855955271593
Colégio Adventista Alto Boqueirão,Colégio Adventista de Joinville - Centro,95.96864048536334
Colégio Adventista Alto Boqueirão,Colégio Adventista de Paranaguá,74.22020363627526
Colégio Adventista Alto Boqueirão,Colégio Adventista Pinhais,11.487085972572542
Colégio Adventista Alto Boqueirão,Escola Adventista de Vista Alegre,13.692991192562697
Colégio Adventista Alto Boqueirão,Colégio Adventista Fazenda Rio Grande,14.709242207234787
Colégio Adventista Boa Vista - PR,Colégio Adventista Boqueirão,11.841877475545392
Colégio Adventista Boa Vista - PR,Colégio Adventista Centenário,9.73532623808311
Colégio Adventista Boa Vista - PR,Colégio Adventista Portão,12.750707801587705
Colégio Adventista Boa Vista - PR,Colégio Adventista São José dos Pinhais,18.55370849677222
Colégio Adventista Boa Vista - PR,Colégio Curitibano Adventista Bom Retiro,5.5038877490229465
Colégio Adventista Boa Vista - PR,Colégio Adventista Afonso Pena,15.328606476354796
Colégio Adventista Boa Vista - PR,Colégio Adventista Araucária,27.958469421946198
Colégio Adventista Boa Vista - PR,Escola Adventista de Guaraqueçaba,93.24895794831241
Colégio Adventista Boa Vista - PR,Colégio Adventista de Paranaguá,74.44705252348535
Colégio Adventista Boa Vista - PR,Colégio Adventista Pinhais,8.206663728141345
Colégio Adventista Boa Vista - PR,Colégio Adventista Ponta Grossa,97.7376332635311
Colégio Adventista Boa Vista - PR,Escola Adventista de Vista Alegre,6.91263333423073
Colégio Adventista Boa Vista - PR,Colégio Adventista Fazenda Rio Grande,30.067472206120776
Colégio Adventista Boqueirão,Colégio Adventista Centenário,4.1622403257247
Colégio Adventista Boqueirão,Colégio Adventista de Joinville - Costa e Silva,94.72764110804815
Colégio Adventista Boqueirão,Colégio Adventista de Joinville - Saguaçu,97.00029923056337
Colégio Adventista Boqueirão,Colégio Adventista Portão,5.3853714541021915
Colégio Adventista Boqueirão,Colégio Adventista São José dos Pinhais,7.76875237908102
Colégio Adventista Boqueirão,Colégio Curitibano Adventista Bom Retiro,8.530698873189307
Colégio Adventista Boqueirão,Colégio Adventista Afonso Pena,6.255562245022949
Colégio Adventista Boqueirão,Colégio Adventista Araucária,18.910200933923974
Colégio Adventista Boqueirão,Escola Adventista de Guaraqueçaba,96.10079788377129
Colégio Adventista Boqueirão,Escola Adventista de Joinville - Bom Retiro,95.38120938734389
Colégio Adventista Boqueirão,Colégio Adventista de Joinville - Centro,99.38904204680757
Colégio Adventista Boqueirão,Colégio Adventista de Paranaguá,73.96551873117278
Colégio Adventista Boqueirão,Colégio Adventista Pinhais,8.343418514089645
Colégio Adventista Boqueirão,Escola Adventista de Vista Alegre,10.318778650776377
Colégio Adventista Boqueirão,Colégio Adventista Fazenda Rio Grande,18.460084275332438
Colégio Adventista Campo-Grandense,Colégio Adventista Jardim dos Estados,6.907934445720648
Colégio Adventista Centenário,Colégio Adventista de Joinville - Costa e Silva,95.63324316001362
Colégio Adventista Centenário,Colégio Adventista de Joinville - Saguaçu,97.82987587271042
Colégio Adventista Centenário,Colégio Adventista Portão,8.90812762287042
Colégio Adventista Centenário,Colégio Adventista São José dos Pinhais,8.870144989609482
Colégio Adventista Centenário,Colégio Curitibano Adventista Bom Retiro,8.51875684715237
Colégio Adventista Centenário,Colégio Adventista Afonso Pena,5.629237622781057
Colégio Adventista Centenário,Colégio Adventista Araucária,23.072414656488103
Colégio Adventista Centenário,Escola Adventista de Guaraqueçaba,92.25956623878959
Colégio Adventista Centenário,Escola Adventista de Joinville - Bom Retiro,96.21114888269283
Colégio Adventista Centenário,Colégio Adventista de Paranaguá,70.69988699137552
Colégio Adventista Centenário,Colégio Adventista Pinhais,4.235694145033042
Colégio Adventista Centenário,Escola Adventista de Vista Alegre,10.851151764424246
Colégio Adventista Centenário,Colégio Adventista Fazenda Rio Grande,21.970395466336825
Colégio Adventista da Cidade Nova V,Escola Adventista Centro Nipônico,11.208037253028008
Colégio Adventista da Cidade Nova V,Escola Adventista da Marambaia,7.454950574004025
Colégio Adventista da Cidade Nova V,Escola Adventista da Pedreira,12.029431810419144
Colégio Adventista da Cidade Nova V,Escola Adventista de Castanhal,51.705759617794975
Colégio Adventista da Cidade Nova V,Escola Adventista de Coqueiro,3.9503749988100436
Colégio Adventista da Cidade Nova V,Colégio Adventista da Marambaia,8.193545060849837
Colégio Adventista da Cidade Nova V,Escola Adventista de Icoaraci,11.471294777521917
Colégio Adventista da Cidade Nova V,Escola Adventista de São Brás Altamir de Paiva,12.891579193121311
Colégio Adventista da Cidade Nova V,FAAMA - Faculdade Adventista da Amazônia,16.407782509312096
Colégio Adventista da Cidade Nova V,Instituto Adventista Grão Pará,11.328232534208839
Colégio Adventista da Cohab,Colégio Adventista de São Luís,4.002015031810323
Colégio Adventista da Cohab,Educação Adventista KIDS,4.014309606759735
Colégio Adventista da Cohab,Escola Adventista da Cidade Operária,4.2418686987479965
Colégio Adventista da Cohab,Escola Adventista de Monte Castelo,6.635664658730211
Colégio Adventista da Lapa,Liberdade - SP,8.55946855781931
Colégio Adventista da Lapa,Colégio Adventista de Americanópolis,16.547033796950142
Colégio Adventista da Lapa,Colégio Adventista de Araçariguama,37.570574657097595
Colégio Adventista da Lapa,Colégio Adventista de Bragança Paulista,66.05220879469061
Colégio Adventista da Lapa,Colégio Adventista de Campinas,75.9305917045243
Colégio Adventista da Lapa,Colégio Adventista de Campinas - Unidade Castelo,78.71871103240416
Colégio Adventista da Lapa,Escola Adventista de Campo de Fora,16.125446678544673
Colégio Adventista da Lapa,Colégio Adventista de Campo Limpo,12.941862410297267
Colégio Adventista da Lapa,Colégio Adventista de Cidade Ademar,17.424627146070126
Colégio Adventista da Lapa,Colégio Adventista de Cotia,23.262912766639886
Colégio Adventista da Lapa,Colégio Adventista de Diadema,20.43139793901397
Colégio Adventista da Lapa,Colégio Adventista de Embu das Artes,22.319186021336968
Colégio Adventista da Lapa,Colégio Adventista de Engenheiro Goulart,19.603052919548823
Colégio Adventista da Lapa,Colégio Adventista de Gopoúva,18.15743977444385
Colégio Adventista da Lapa,Colégio Adventista de Hortolândia,88.81544949281009
Colégio Adventista da Lapa,Colégio Adventista de Interlagos,21.27847460733297
Colégio Adventista da Lapa,Colégio Adventista de Jacareí,77.58978646252197
Colégio Adventista da Lapa,Colégio Adventista de Jardim Utinga,22.217332378499542
Colégio Adventista da Lapa,Colégio Adventista de Mauá,30.888003829523427
Colégio Adventista da Lapa,Colégio Adventista de Mogi das Cruzes,51.77632265132126
Colégio Adventista da Lapa,Colégio Adventista de Paulínia,94.99914410926573
Colégio Adventista da Lapa,Colégio Adventista de Praia Grande,61.12501881463832
Colégio Adventista da Lapa,Colégio Adventista de Santo Amaro,14.69516632881441
Colégio Adventista da Lapa,Colégio Adventista de Santo André,24.597366370921883
Colégio Adventista da Lapa,Colégio Adventista de Santos,60.87661518580395
Colégio Adventista da Lapa,Colégio Adventista de São Bernardo do Campo,27.356814114597128
Colégio Adventista da Lapa,Colégio Adventista de São Caetano do Sul,19.776302705937184
Colégio Adventista da Lapa,Colégio Adventista de São José dos Campos,89.08064299882857
Colégio Adventista da Lapa,Colégio Adventista de São Miguel Paulista,28.40315864050429
Colégio Adventista da Lapa,Colégio Adventista de Sorocaba,79.7307610828191
Colégio Adventista da Lapa,Colégio Adventista de Taboão da Serra,10.703166633952339
Colégio Adventista da Lapa,Colégio Adventista de Tucuruvi,10.93743032931447
Colégio Adventista da Lapa,Colégio Adventista de Vila Alpina,16.469882581622976
Colégio Adventista da Lapa,Escola Adventista de Vila das Belezas,14.467029730743146
Colégio Adventista da Lapa,Colégio Adventista de Vila Galvão,16.109569331514294
Colégio Adventista da Lapa,Colégio Adventista de Vila Matilde,18.757189916404528
Colégio Adventista da Lapa,Colégio Adventista de Vila Nova Cachoeirinha,6.650959126162559
Colégio Adventista da Lapa,Colégio Adventista de Vila Yara,6.312830105148774
Colégio Adventista da Lapa,Colégio Adventista do Brooklin,11.391275399038232
Colégio Adventista da Lapa,Colégio Adventista Ellen G. White,17.128182528897288
Colégio Adventista da Lapa,Colégio Adventista da Granja Viana,16.590947856843588
Colégio Adventista da Lapa,Escola Adventista de Alvorada - SP,17.45852581677166
Colégio Adventista da Lapa,Escola Adventista de Campo Grande,16.973922926552508
Colégio Adventista da Lapa,Escola Adventista de Ibiúna,53.43269207598488
Colégio Adventista da Lapa,Escola Adventista de Indaiatuba,68.61029687365634
Colégio Adventista da Lapa,Colégio Adventista de Itapecerica da Serra,25.96079228110224
Colégio Adventista da Lapa,Escola Adventista de Jardim das Palmeiras,18.38259333728333
Colégio Adventista da Lapa,Escola Adventista de Jardim Lilah,18.149257113620273
Colégio Adventista da Lapa,Colégio Adventista de Jundiaí,38.04357058947151
Colégio Adventista da Lapa,Escola Adventista de Pedreira - AP,19.3941057802862
Colégio Adventista da Lapa,Escola Adventista de Porto Feliz,90.42883620922032
Colégio Adventista da Lapa,Escola Adventista de São Roque,42.672902782803114
Colégio Adventista da Lapa,Colégio Adventista Pirajuçara,16.738510080444435
Colégio Adventista da Lapa,Escola Adventista Thiago White,20.476812936646574
Colégio Adventista da Lapa,Unasp-HT - Centro Universitário Adventista Hortolândia,88.8494487353649
Colégio Adventista da Lapa,Unasp-SP - Centro Universitário Adventista - São Paulo,17.657696373948397
Colégio Adventista da Lapa,Escola Adventista de Educação Infantil de Vila Matilde,19.0012532139286
Colégio Adventista da Lapa,Colégio Adventista de Alphaville,16.06540243856215
Colégio Adventista da Lapa,Unasp-BI - Centro Universitário Adventista - Bilíngue,17.657696373948397
Liberdade - SP,Colégio Adventista de Americanópolis,10.873832695479956
Liberdade - SP,Colégio Adventista de Araçariguama,45.90848904247591
Liberdade - SP,Colégio Adventista de Bragança Paulista,68.63734653461464
Liberdade - SP,Colégio Adventista de Campinas,83.29235517180459
Liberdade - SP,Colégio Adventista de Campinas - Unidade Castelo,86.1310084166798
Liberdade - SP,Escola Adventista de Campo de Fora,16.90275500147938
Liberdade - SP,Colégio Adventista de Campo Limpo,14.997035842682498
Liberdade - SP,Colégio Adventista de Cidade Ademar,12.24285640098953
Liberdade - SP,Colégio Adventista de Cotia,29.718498080876476
Liberdade - SP,Colégio Adventista de Diadema,14.26645930945565
Liberdade - SP,Colégio Adventista de Embu das Artes,25.954221807207674
Liberdade - SP,Colégio Adventista de Engenheiro Goulart,13.784135890571694
Liberdade - SP,Colégio Adventista de Gopoúva,14.219339837776937
Liberdade - SP,Colégio Adventista de Hortolândia,96.71826514585813
Liberdade - SP,Colégio Adventista de Interlagos,17.986053164403085
Liberdade - SP,Colégio Adventista de Jacareí,72.02086495774525
Liberdade - SP,Colégio Adventista de Jardim Utinga,13.658446858899206
Liberdade - SP,Colégio Adventista de Mauá,22.332552773281606
Liberdade - SP,Colégio Adventista de Mogi das Cruzes,44.506703458510536
Liberdade - SP,Colégio Adventista de Praia Grande,54.17496923379105
Liberdade - SP,Colégio Adventista de Santo Amaro,12.251288198064595
Liberdade - SP,Colégio Adventista de Santo André,16.291953000510027
Liberdade - SP,Colégio Adventista de Santos,53.02066580821642
Liberdade - SP,Colégio Adventista de São Bernardo do Campo,19.63595708627731
Liberdade - SP,Colégio Adventista de São Caetano do Sul,11.612408360940726
Liberdade - SP,Colégio Adventista de São José dos Campos,83.74102915311543
Liberdade - SP,Colégio Adventista de São Miguel Paulista,21.969633487593082
Liberdade - SP,Colégio Adventista de Sorocaba,87.23275431489913
Liberdade - SP,Colégio Adventista de Taboão da Serra,14.223118238675301
Liberdade - SP,Colégio Adventista de Tucuruvi,8.745227860071598
Liberdade - SP,Colégio Adventista de Vila Alpina,7.911287797109907
Liberdade - SP,Escola Adventista de Vila das Belezas,14.517985780123915
Liberdade - SP,Colégio Adventista de Vila Galvão,13.258792492853287
Liberdade - SP,Colégio Adventista de Vila Matilde,11.637576659774469
Liberdade - SP,Colégio Adventista de Vila Nova Cachoeirinha,10.702437712325581
Liberdade - SP,Colégio Adventista de Vila Yara,12.816455017277969
Liberdade - SP,Colégio Adventista do Brooklin,8.20627295339941
Liberdade - SP,Colégio Adventista Ellen G. White,17.984921219482885
Liberdade - SP,Colégio Adventista da Granja Viana,22.285669890304884
Liberdade - SP,Escola Adventista de Alvorada - SP,18.83800555770017
Liberdade - SP,Escola Adventista de Campo Grande,13.710090583698683
Liberdade - SP,Escola Adventista de Ibiúna,59.62715734888255
Liberdade - SP,Escola Adventista de Indaiatuba,76.97034497857568
Liberdade - SP,Colégio Adventista de Itapecerica da Serra,27.946799325738027
Liberdade - SP,Escola Adventista de Jardim das Palmeiras,19.08486632550223
Liberdade - SP,Escola Adventista de Jardim Lilah,19.227427044120525
Liberdade - SP,Colégio Adventista de Jundiaí,45.18414394807965
