Nome_Colegio,Latitude,Longitude
Colégio Adventista de Planaltina,-15.619968,-47.650483
Escola Adventista de Campina Grande,-7.246885,-35.897295
Escola Adventista do Siqueira Campos Aracaju,-10.91123,-37.07256
Colégio Adventista de Cariacica,-20.340552,-40.377501
Colégio Adventista de Uberlândia,-18.918948,-48.244206
Colégio Adventista do Gama,-16.014971,-48.068807
Centro Educacional Adventista IBES,-20.351228,-40.313786
Centro Educacional Adventista Dr. Otto Keppke,-18.86098,-41.947453
Centro Educacional Adventista Dr. Otto Keppke Júnior,-18.857644,-41.950505
Colégio Adventista da Cidade Nova,-3.032081,-59.988253
Colégio Adventista de Sinop,-11.866123,-55.50842
Colégio Adventista Alto Boqueirão,-25.523476,-49.248493
Colégio Adventista Boa Vista - PR,-25.381757,-49.235594
Colégio Adventista Boqueirão,-25.488289,-49.245301
Colégio Adventista Campo-Grandense,-20.497555,-54.652121
Colégio Adventista Centenário,-25.466829,-49.211325
Colégio Adventista da Cidade Nova V,-1.355923,-48.393817
Colégio Adventista da Cohab,-2.542939,-44.218822
Colégio Adventista da Lapa,-23.521687,-46.709244
Liberdade - SP,-23.560291,-46.636624
Colégio Adventista da Liberdade - BA,-12.949570867248195,-38.49487572281915
Colégio Adventista da Tijuca,-22.914481,-43.214522
Colégio Adventista de Altamira,-3.208583,-52.222172
Colégio Adventista de Americana,-22.736584,-47.308398
Colégio Adventista de Americanópolis,-23.658266,-46.643527
Colégio Adventista de Araçariguama,-23.430540398070402,-47.0634851431041
Colégio Adventista de Araguaina,-7.198787,-48.211505
Colégio Adventista de Arruda,-8.02158,-34.892234
Colégio Adventista de Assis,-22.647274,-50.402741
Colégio Adventista de Bauru,-22.329836,-49.08164
Colégio Adventista de Belo Horizonte,-19.878779,-43.961062
Colégio Adventista de Bragança Paulista,-22.94801,-46.532708
Colégio Adventista de Cáceres,-16.059846,-57.685368
Colégio Adventista de Campinas,-22.91445,-47.05368
Colégio Adventista de Campinas - Unidade Castelo,-22.8965385,-47.0752138
Escola Adventista de Campo de Fora,-23.658449,-46.763445
Colégio Adventista de Campo Grande,-22.912119,-43.564091
Colégio Adventista de Campo Limpo,-23.626812,-46.764603
Colégio Adventista de Campo Mourão,-24.045533,-52.381109
Colégio Adventista de Caraguatatuba,-23.665840,-45.443911
Colégio Adventista de Caruaru,-8.272821,-35.978235
